,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye Ray Raw left pos x,Eye Ray Raw left pos y,Eye Ray Raw left pos z,Eye Ray Raw left dir x,Eye Ray Raw left dir y,Eye Ray Raw left dir z,Eye Ray Raw left error,Eye Ray Raw right pos x,Eye Ray Raw right pos y,Eye Ray Raw right pos z,Eye Ray Raw right dir x,Eye Ray Raw right dir y,Eye Ray Raw right dir z,Eye Ray Raw right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.6025,,0.00258,0.15360,0.05000,,-0.03291,-0.00034,-0.00862,0.99942,,0.00000,0.00000,0.00000,0.06965,0.02087,0.99735,,17.42565,,-0.03150,0.00000,0.00000,0.02761,-0.01488,0.99951,,0.03150,0.00000,0.00000,0.11346,0.05826,0.99183,,-0.03150,0.00000,0.00000,0.03182,-0.01556,0.99937,,0.03150,0.00000,0.00000,0.11059,0.06410,0.99180,,Opened,,Opened,,1.78,,1.68,,,,4.982,,-0.769,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02613,-0.01523,,0.12197,0.04678,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.59,138.01,23.41,25.42,178.766,,166.97,134.62,23.35,23.65,99.033,
,0.6104,,0.00260,0.15360,0.04999,,-0.03296,-0.00033,-0.00867,0.99942,,0.00000,0.00000,0.00000,0.06964,0.02102,0.99735,,17.42565,,-0.03150,0.00000,0.00000,0.02779,-0.01490,0.99950,,0.03150,0.00000,0.00000,0.11266,0.05894,0.99188,,-0.03150,0.00000,0.00000,0.03191,-0.01568,0.99937,,0.03150,0.00000,0.00000,0.10611,0.06433,0.99227,,Opened,,Opened,,1.79,,1.68,,,,4.683,,-0.755,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02629,-0.01519,,0.12115,0.04742,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.65,138.00,23.56,25.37,0.000,,166.63,134.58,23.42,23.74,98.886,
,0.6248,,0.00262,0.15361,0.04997,,-0.03303,-0.00030,-0.00872,0.99942,,0.00000,0.00000,0.00000,0.06967,0.02125,0.99734,,17.42565,,-0.03150,0.00000,0.00000,0.02811,-0.01496,0.99949,,0.03150,0.00000,0.00000,0.11197,0.05979,0.99191,,-0.03150,0.00000,0.00000,0.03127,-0.01646,0.99938,,0.03150,0.00000,0.00000,0.10983,0.06394,0.99189,,Opened,,Opened,,1.79,,1.67,,,,4.880,,-0.797,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02657,-0.01513,,0.12044,0.04821,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.61,138.00,23.66,25.33,0.000,,166.91,134.63,23.29,23.59,98.501,
,0.6390,,0.00263,0.15361,0.04996,,-0.03305,-0.00029,-0.00877,0.99942,,0.00000,0.00000,0.00000,0.06975,0.02133,0.99734,,17.42565,,-0.03150,0.00000,0.00000,0.02822,-0.01503,0.99949,,0.03150,0.00000,0.00000,0.11204,0.05998,0.99189,,-0.03150,0.00000,0.00000,0.03045,-0.01742,0.99938,,0.03150,0.00000,0.00000,0.11338,0.06352,0.99152,,Opened,,Opened,,1.78,,1.67,,,,4.881,,-0.836,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02669,-0.01510,,0.12048,0.04838,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.64,138.06,23.44,25.30,175.956,,167.18,134.67,22.83,24.08,16.996,
,0.6534,,0.00264,0.15361,0.04996,,-0.03306,-0.00031,-0.00879,0.99941,,0.00000,0.00000,0.00000,0.06982,0.02153,0.99733,,17.42565,,-0.03150,0.00000,0.00000,0.02843,-0.01509,0.99948,,0.03150,0.00000,0.00000,0.11167,0.06057,0.99190,,-0.03150,0.00000,0.00000,0.03109,-0.01643,0.99938,,0.03150,0.00000,0.00000,0.10731,0.06569,0.99205,,Opened,,Opened,,1.77,,1.68,,,,4.585,,-0.979,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02691,-0.01508,,0.12005,0.04896,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.67,138.16,23.43,25.06,177.779,,166.72,134.50,23.40,23.71,99.060,
,0.6674,,0.00263,0.15361,0.04996,,-0.03306,-0.00034,-0.00878,0.99941,,0.00000,0.00000,0.00000,0.06988,0.02166,0.99732,,17.42565,,-0.03150,0.00000,0.00000,0.02859,-0.01520,0.99948,,0.03150,0.00000,0.00000,0.11162,0.06086,0.99189,,-0.03150,0.00000,0.00000,0.03086,-0.01712,0.99938,,0.03150,0.00000,0.00000,0.11218,0.06388,0.99163,,Opened,,Opened,,1.78,,1.65,,,,4.784,,-0.648,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02710,-0.01507,,0.12000,0.04926,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.64,138.08,23.45,25.24,175.054,,167.38,134.76,22.28,24.09,22.470,
,0.6817,,0.00262,0.15362,0.04995,,-0.03309,-0.00035,-0.00874,0.99941,,0.00000,0.00000,0.00000,0.06997,0.02178,0.99731,,17.42565,,-0.03150,0.00000,0.00000,0.02872,-0.01527,0.99947,,0.03150,0.00000,0.00000,0.11167,0.06106,0.99187,,-0.03150,0.00000,0.00000,0.03127,-0.01717,0.99936,,0.03150,0.00000,0.00000,0.11241,0.06406,0.99160,,Opened,,Opened,,1.75,,1.67,,,,4.890,,-0.688,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02727,-0.01506,,0.12005,0.04950,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,155.91,138.01,24.16,23.62,94.892,,166.88,134.56,23.27,23.61,99.152,
,0.6959,,0.00260,0.15362,0.04994,,-0.03313,-0.00037,-0.00869,0.99941,,0.00000,0.00000,0.00000,0.07015,0.02194,0.99730,,17.42565,,-0.03150,0.00000,0.00000,0.02895,-0.01532,0.99946,,0.03150,0.00000,0.00000,0.11174,0.06126,0.99185,,-0.03150,0.00000,0.00000,0.03310,-0.01591,0.99933,,0.03150,0.00000,0.00000,0.11348,0.06365,0.99150,,Opened,,Opened,,1.77,,1.67,,,,5.063,,-0.582,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02747,-0.01505,,0.12014,0.04971,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,156.14,138.03,23.17,25.21,176.844,,167.35,134.88,23.31,23.65,99.172,
,0.7102,,0.00258,0.15363,0.04992,,-0.03320,-0.00039,-0.00865,0.99941,,0.00000,0.00000,0.00000,0.07025,0.02202,0.99729,,17.42565,,-0.03150,0.00000,0.00000,0.02906,-0.01533,0.99946,,0.03150,0.00000,0.00000,0.11181,0.06135,0.99183,,-0.03150,0.00000,0.00000,0.03182,-0.01526,0.99938,,0.03150,0.00000,0.00000,0.11431,0.06355,0.99141,,Opened,,Opened,,1.76,,1.67,,,,5.039,,-0.482,,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02759,-0.01504,,0.12022,0.04981,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,156.19,138.06,24.37,23.86,95.292,,167.75,134.76,22.90,23.78,12.719,
,0.7247,,0.00258,0.15364,0.04989,,-0.03329,-0.00040,-0.00864,0.99941,,0.00000,0.00000,0.00000,0.07052,0.02223,0.99726,,17.42565,,-0.03150,0.00000,0.00000,0.02924,-0.01531,0.99946,,0.03150,0.00000,0.00000,0.11206,0.06157,0.99179,,-0.03150,0.00000,0.00000,0.03204,-0.01501,0.99937,,0.03150,0.00000,0.00000,0.11547,0.06373,0.99127,,Opened,,Opened,,1.77,,1.68,,,,4.777,,-0.541,Data_LowAccuracy,1,,0,,67.46,,66.66,,13.50,Data_Uncalibrated,13.50,Data_Uncalibrated,0.02785,-0.01501,,0.12048,0.05002,,229.41,174.28,203.49,172.83,177.57,171.93,151.65,170.46,125.72,168.03,99.80,164.91,73.88,162.09,99.80,131.08,125.72,113.74,151.65,107.80,177.57,113.54,203.49,133.88,,93.04,167.57,120.05,167.67,147.06,168.23,174.07,168.99,201.08,169.76,228.09,170.54,255.11,171.42,228.09,134.23,201.08,114.25,174.07,106.90,147.06,111.12,120.05,129.36,,156.30,138.11,24.49,23.99,95.733,,167.59,134.61,23.40,23.76,99.605,
